# ASKAP lat=-26.6970 deg, lon=+116.6311 deg
X   Y   Z   unknown   unknown   label
-2556088.333   5097405.644  -2848428.244   3   0.0  AK01
-2556109.717   5097388.201  -2848439.879   3   0.0  AK02
-2556121.766   5097392.033  -2848421.390   3   0.0  AK03
-2556087.338   5097423.610  -2848396.884   3   0.0  AK04
-2556028.532   5097451.432  -2848399.844   3   0.0  AK05
-2556231.527   5097387.706  -2848327.478   3   0.0  AK06
-2556282.740   5097252.346  -2848527.131   3   0.0  AK07
-2556006.138   5097327.655  -2848641.622   3   0.0  AK08
-2555892.623   5097559.688  -2848328.789   3   0.0  AK09
-2556059.197   5097560.779  -2848178.125   3   0.0  AK10
-2556397.205   5097421.420  -2848124.541   3   0.0  AK11
-2556496.968   5097335.505  -2848188.329   3   0.0  AK12
-2556406.097   5097062.470  -2848754.650   3   0.0  AK13
-2555972.219   5097232.450  -2848839.260   3   0.0  AK14
-2555394.880   5097674.816  -2848567.477   3   0.0  AK15
-2555594.295   5097837.895  -2848099.849   3   0.0  AK16
-2555750.809   5097838.151  -2847959.885   3   0.0  AK17
-2556069.454   5097603.916  -2848092.292   3   0.0  AK18
-2556381.172   5097500.422  -2847998.384   3   0.0  AK19
-2556605.032   5097304.024  -2848147.942   3   0.0  AK20
-2556767.135   5097225.979  -2848142.143   3   0.0  AK21
-2556912.719   5097159.763  -2848130.033   3   0.0  AK22
-2555953.542   5097142.709  -2849015.390   3   0.0  AK23
-2556060.232   5096927.482  -2849302.773   3   0.0  AK24
-2555673.190   5097943.089  -2847842.487   3   0.0  AK25
-2555872.948   5097849.656  -2847830.551   3   0.0  AK26
-2555323.497   5098263.568  -2847584.301   3   0.0  AK27
-2556555.989   5097773.135  -2847357.579   3   0.0  AK28
-2556745.438   5097448.114  -2847753.833   3   0.0  AK29
-2557349.572   5097172.594  -2847717.600   3   0.0  AK30
-2558275.632   5096804.284  -2847546.187   3   0.0  AK31
-2558279.672   5095040.491  -2850676.186   3   0.0  AK32
-2555536.720   5096268.039  -2850940.407   3   0.0  AK33
-2553019.483   5097938.540  -2850213.874   3   0.0  AK34
-2554350.432   5098778.968  -2847534.853   3   0.0  AK35
-2556761.001   5098670.824  -2845577.611   3   0.0  AK36
